phase,order,ticket_id,filename,title,priority,status,confidence,objective,scope,functional_requirements,technical_requirements,acceptance_criteria,required_tests,documentation_updates,out_of_scope,dependencies,implemented_evidence,test_evidence,documentation_evidence,missing_requirements,blockers,recommended_action,overlay
phase-1,1,0.1,00-01-repository-setup.md,Ticket 0.1 - Set up CoriTech-owned source repository,P0,PARTIALLY_IMPLEMENTED,MEDIUM,"Create the technical ownership base so all product code, configuration and documentation live under CoriTech control from day one.","Create company-controlled GitHub/GitLab/Bitbucket organization. | Create repositories or monorepo areas for app, api, infra and docs. | Add README files, .gitignore, .env.example placeholder, issue/PR templates, CODEOWNERS. | Set branch protection and required reviewers. | Document repository ownership and backup admin access.",,,Repositories exist under CoriTech-controlled organization. | No code is stored only in personal or agency-owned repositories. | Admin access is held by CoriTech and at least one backup admin exists. | Branch protection is active for main. | Pull requests are required before merge. | Repository ownership proof can be shown for due diligence.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,.github/pull_request_template.md exists | .github/ISSUE_TEMPLATE/*.md exists | docs/source-control/repository-ownership.md and docs/source-control/branch-protection.md exist,No automated test is expected for external repository ownership,docs/vendor-ip/account-ownership-checklist.md tracks source-control ownership evidence,"Actual CoriTech-controlled organization ownership, backup admin access and active branch protection cannot be verified from the repo | No GitHub workflow or exported branch-protection evidence was found",,Attach repository ownership and branch-protection evidence; keep existing source-control docs as the checklist surface.,status-overlays/phase-1/00-01.status.md
phase-1,2,0.2,00-02-documentation-skeleton.md,Ticket 0.2 - Create project architecture documentation skeleton,P0,IMPLEMENTED,HIGH,"Create a documentation base so a future CTO, software partner or investor reviewer can understand the system without relying on vendor memory.","Create /docs/architecture, /docs/data-model, /docs/security, /docs/integrations, /docs/deployment, /docs/vendor-ip, /docs/product. | Add starter markdown files for architecture overview, MVP scope, build-vs-buy, IP/vendor/ownership, security/GDPR, deployment and external systems register. | Document delayed scope: AI, blockchain/token, full data space automation, sensor/wearable ingestion and full federation automation.",,,Documentation folder structure exists. | Each required section has a starter markdown file. | MVP scope is clearly stated. | Delayed items are explicitly listed. | Docs explain CoriTech's core as workflow-generated proof.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,"docs/architecture.md, docs/data-model.md, docs/product/mvp-scope.md and docs/security/security-gdpr.md exist",Documentation-only ticket; no executable tests required,docs/README.md and docs/current-implementation-status.md preserve architecture and scope context,No missing core documentation-skeleton acceptance evidence found,,Maintain the documentation skeleton as new implementation areas are added.,status-overlays/phase-1/00-02.status.md
phase-1,3,0.3,00-03-environment-secrets.md,Ticket 0.3 - Set up environment configuration and secrets structure,P0,IMPLEMENTED,HIGH,Prepare secure environment management so secrets are never hardcoded or held only by vendors.,"Add .env.example. | Define local, staging and production configuration. | Add typed config loading and required variable validation. | Document secret naming conventions and secrets vault placeholder. | Include variables for database, auth, notifications, object storage, payment reference, logistics and audit retention.",,,No secrets are committed. | Application fails safely if required config is missing. | .env.example documents all required variables. | Config is environment-aware. | Secret ownership rules are documented.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,".env.example plus .env.local.example, .env.staging.example and .env.production.example exist | packages/config/src/environment.mjs validates environment-aware config","packages/config/src/environment.test.mjs covers missing values, placeholders and local/non-local behavior",docs/deployment/environment-configuration.md documents secret ownership and placeholder policy,No missing core environment/secrets acceptance evidence found,,Keep real secrets out of git and move concrete staging/production values into the future CoriTech-controlled secret manager.,status-overlays/phase-1/00-03.status.md
phase-1,4,13.1,13-01-vendor-register-doc.md,Ticket 13.1 - Create Vendor Register documentation,P0,PARTIALLY_IMPLEMENTED,MEDIUM,Track all vendors and prevent dependency risk.,"Create markdown and CSV template. | Include vendor type, role, access level, data access, IP created, contract required, exit/handover requirement, risk level, current owner and status. | Include Phase 1 vendor types: dev agency/freelancer, UX designer, cloud, auth, payment, notification, storage, legal/GDPR adviser.",,,Vendor register file exists. | Phase 1 vendor types are included. | Each vendor has required contract and handover fields. | Risk level is included. | Register is suitable for investor DD.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,docs/integrations/external-systems-register.md exists,No executable tests are expected for this documentation ticket,"external-systems-register includes auth, storage, email, hosting, logistics, payment, AI, blockchain and sensor systems","No vendor-register CSV was found | The register lacks explicit contract, handover and risk-level columns required by the ticket",,Create the ticket-specific vendor register markdown/CSV or enrich the existing register without weakening its placeholders.,status-overlays/phase-1/13-01.status.md
phase-1,5,13.2,13-02-account-ownership-checklist-doc.md,Ticket 13.2 - Create Account Ownership Checklist documentation,P0,IMPLEMENTED,HIGH,Ensure CoriTech controls production-critical accounts.,"Create markdown and CSV checklist. | Systems: repositories, cloud, domain registrar, DNS, email/domain workspace, CI/CD, database admin, storage buckets, monitoring/logging, error tracking, payment, auth, notifications, design tools, project management, documentation, secrets vault, analytics. | Include current owner, required owner, admin, backup admin, DD evidence and status.",,,Checklist exists. | Required owner is CoriTech for production-critical accounts. | Admin access and backup admin columns exist. | DD evidence column exists. | Status column exists. | Rule included: no production-critical account only under vendor account.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,docs/vendor-ip/account-ownership-checklist.md and docs/vendor-ip/account-ownership-checklist.csv exist,No executable tests are expected for this documentation ticket,"Checklist includes required owner, admin, backup admin, DD evidence and status fields plus no-vendor-only rule",No missing checklist acceptance evidence found; many rows intentionally remain pending evidence,,Replace placeholders with real evidence as providers/accounts are selected.,status-overlays/phase-1/13-02.status.md
phase-1,6,13.3,13-03-ip-assignment-handover-checklist.md,Ticket 13.3 - Create IP assignment and handover checklist,P0,IMPLEMENTED,HIGH,Ensure implementation can be outsourced without losing ownership.,"Create checklist for IP assignment, source code delivery, company-owned repo, documentation, handover, open-source disclosure, dependency list, confidentiality, exit support, no production secrets retention, design file transfer and deployment knowledge transfer. | Apply to dev agencies, freelancers and UX/UI designers. | Clarify acceptable outsourcing vs unacceptable ownership loss.",,,"Checklist exists. | Applies to dev agency, freelancer and UX/UI designer. | Separates acceptable outsourcing from unacceptable ownership loss. | Can be used before signing vendor contracts.",,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,docs/vendor-ip/ip-assignment-handover-checklist.md exists,No executable tests are expected for this documentation ticket,"Checklist covers IP assignment, background IP, source-code delivery, account ownership, secrets and handover acceptance",No missing core IP/handover checklist evidence found; real contract evidence remains pending by design,,Use this checklist before vendor onboarding and final handover.,status-overlays/phase-1/13-03.status.md
phase-1,7,1.1,01-01-user-organization-role-model.md,"Ticket 1.1 - Implement User, Organization and Role data model",P0,IMPLEMENTED,HIGH,"Create the actor and role foundation because proof depends on who creates, confirms, signs or views an event.","Implement User, Organization, Role and UserOrganizationRole. | Support Phase 1 roles BREEDER, BREEDING_STATION and PLATFORM_ADMIN. | Prepare future role enums for VET, FEDERATION, SALES_VENUE, BUYER and TECH_SUPPORT. | Add migrations, TypeScript types, validation and tests. | Prepare audit hook for role assignment.",,,Users can belong to one or more organizations. | Users can hold different roles per organization. | Role model supports Phase 1 and later phases. | Admin user can assign roles. | Role assignments are auditable or have clear audit hooks. | Database migrations and unit tests are included.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,"packages/database/prisma/schema.prisma contains User, Organization, Role and UserOrganizationRole | packages/domain/src/identity/role-model.mjs implements role metadata and assignment helpers","packages/domain/src/identity/role-model.test.mjs covers role assignment, future roles and active role checks",docs/data-model/core-data-model.md documents implemented identity foundation,No missing core data-model acceptance evidence found,,Use this as the identity foundation for real auth/session wiring.,status-overlays/phase-1/01-01.status.md
phase-1,8,1.2,01-02-stallion-semen-listing.md,Ticket 1.2 - Implement Stallion and Semen Listing model,P0,IMPLEMENTED,HIGH,Create the catalog foundation for the semen ordering MVP wedge.,"Implement Stallion and SemenListing entities. | Fields include name, breed, UELN/chip where available, station ownership, availability and listing status. | Add CRUD endpoints and basic search/filter by stallion, breed, station and availability. | Restrict listing management to owning breeding station or admin. | Prepare audit hook for listing changes.",,,Breeding Station can create and edit its own listings. | Breeder can view active listings. | Listings link to Stallion and Breeding Station. | Inactive listings cannot be ordered. | Basic search/filter works. | Listing changes are audit logged or audit-hook-ready.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,schema.prisma contains Stallion and SemenListing | packages/domain/src/catalog/semen-catalog.mjs implements scoped catalog CRUD/search and audit hooks,"packages/domain/src/catalog/semen-catalog.test.mjs covers listing visibility, orderability and station ownership | apps/web/features/listing-management/listing-management.test.mjs covers station listing mutations",docs/data-model/core-data-model.md documents catalog foundation,No missing core catalog-model acceptance evidence found,,Use the existing catalog helpers when wiring persistent station listing routes.,status-overlays/phase-1/01-02.status.md
phase-1,9,1.3,01-03-semen-order-status-history.md,Ticket 1.3 - Implement Semen Order model and status history,P0,IMPLEMENTED,HIGH,Create the central MVP transaction workflow object.,"Implement SemenOrder and OrderStatusHistory. | Add statuses DRAFT, SUBMITTED, RECEIVED, CONFIRMED, REJECTED, IN_FULFILMENT, SHIPPED, DELIVERED, COMPLETED, CANCELLED. | Add allowed status transitions. | Generate unique human-readable order number. | Record actor, role, organization, timestamp and reason on status changes.",,,"Breeder can create draft order and submit it. | Breeding Station can receive, confirm or reject assigned order. | Every status change creates status history. | Invalid status transitions are rejected. | Status changes trigger audit/proof hooks. | Tests cover transitions and permissions.",,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,"schema.prisma contains SemenOrder and OrderStatusHistory | packages/domain/src/orders/semen-order.mjs implements finite order transitions, draft creation, submit and station receive/confirm/reject rules","packages/domain/src/orders/semen-order.test.mjs covers transitions, permissions, history and hooks",docs/data-model/core-data-model.md documents order workflow statuses and transition table,No missing core model/transition acceptance evidence found; persistent app service remains a Phase 1.1 gap,,Build the persistent OrderService on top of this domain logic rather than duplicating transition rules.,status-overlays/phase-1/01-03.status.md
phase-1,10,1.4,01-04-shipment-tracking-event.md,Ticket 1.4 - Implement Shipment and Shipment Tracking Event model,P0,IMPLEMENTED,HIGH,Capture shipment information as part of the semen order workflow and prepare future logistics integration.,"Implement Shipment and ShipmentTrackingEvent. | Statuses: PREPARED, DISPATCHED, IN_TRANSIT, DELIVERED, DELAYED, FAILED, CANCELLED. | Event sources: MANUAL, LOGISTICS_PROVIDER, SYSTEM. | Allow station to create shipment for confirmed order and update status. | Prepare future logistics integration via normalized tracking events.",,,Station can create shipment for confirmed order. | Station can manually update shipment status. | Tracking events are linked to shipment. | Tracking status update can trigger proof/audit hooks. | Future logistics provider integration is structurally prepared.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,schema.prisma contains Shipment and ShipmentTrackingEvent | packages/domain/src/shipments/shipment.mjs implements shipment create/update endpoints and audit/proof hooks,"packages/domain/src/shipments/shipment.test.mjs covers confirmed-order gating, manual updates and permissions",docs/data-model/core-data-model.md documents shipment tracking foundation,No missing core shipment-model acceptance evidence found; UI/service wiring remains later work,,Use the shipment domain endpoint contracts when implementing the persistent shipment command service.,status-overlays/phase-1/01-04.status.md
